iter	Logloss
189	0.3498289263
190	0.3494676398
191	0.3492643019
192	0.3487931788
193	0.3483964179
194	0.3478854318
195	0.3473369802
196	0.3468858902
197	0.3464601971
198	0.346032838
199	0.3456036097
200	0.3450755162
201	0.3445451066
202	0.3442291282
203	0.3437962427
204	0.3433527108
205	0.3428414809
206	0.3424288317
207	0.3420241876
208	0.3418588841
209	0.3416110508
210	0.3411643494
211	0.3409507308
212	0.3405347089
213	0.3401032253
214	0.3399145363
215	0.3395686708
216	0.3389349465
217	0.3384932838
218	0.3379848984
219	0.337727719
220	0.3371881055
221	0.336804551
222	0.3362885464
223	0.335951255
224	0.3355694884
225	0.3351478792
226	0.3347989254
227	0.3342833476
228	0.3339664346
229	0.3335334679
230	0.3331780735
231	0.3326965275
232	0.3323278251
233	0.3319904727
234	0.3315565307
235	0.3309629538
236	0.3305329534
237	0.3303262021
238	0.3300088219
239	0.3296513145
240	0.3292710717
241	0.3289014144
242	0.328376714
243	0.3279337104
244	0.3275691325
245	0.3271839932
246	0.3269762667
247	0.3266190843
248	0.3262866081
249	0.3258085568
250	0.3253191276
251	0.3249818971
252	0.3246891213
253	0.3242242357
254	0.3239502537
255	0.32356739
256	0.3231770292
257	0.322948213
258	0.3227012127
259	0.3221654595
260	0.3215634915
261	0.3211418822
262	0.3206886792
263	0.320168022
264	0.3199842092
265	0.3195429123
266	0.3192283561
267	0.3188949656
268	0.3186479247
269	0.3182709937
270	0.3180165978
271	0.3177236798
272	0.3172443485
273	0.3167841359
274	0.3163028947
275	0.3159438025
276	0.3154565879
277	0.3150422727
278	0.3145986798
279	0.3142262187
280	0.3140086179
281	0.3135489336
282	0.313149125
283	0.313001315
284	0.3127594143
285	0.3123301454
286	0.3119906596
287	0.3116185033
288	0.3113163408
289	0.3109717757
290	0.3106180473
291	0.3103017439
292	0.3098914312
293	0.3095051542
294	0.309174344
295	0.3087980835
296	0.3084733686
297	0.3081891872
298	0.3078765612
299	0.3073973924
300	0.3069322223
301	0.3066837388
302	0.306377777
303	0.3060629161
304	0.3056468129
305	0.3052946084
306	0.304741951
307	0.3045408277
308	0.3043360878
309	0.3040160257
310	0.3036439506
311	0.3035281609
312	0.3032917054
313	0.302940598
314	0.3026581639
315	0.3023952346
316	0.3021466699
317	0.3019653358
318	0.3016648801
319	0.3013035123
320	0.3008843412
321	0.30049268
322	0.3001206862
323	0.2997791484
324	0.2994741211
325	0.299141523
326	0.2987423647
327	0.298362447
328	0.2979892748
329	0.2977084661
330	0.2972157658
331	0.2969169964
332	0.296608698
333	0.2962248997
334	0.2961053919
335	0.295965973
336	0.2956964405
337	0.2953089444
338	0.2950731188
339	0.2946098382
340	0.2944461601
341	0.2942245568
342	0.293852888
343	0.2934503569
344	0.2930034727
345	0.2926790829
346	0.2923984164
347	0.2921376408
348	0.2919586839
349	0.2916512186
350	0.2914048481
351	0.2909819995
352	0.2906451956
353	0.2902474595
354	0.289818414
355	0.2894517637
356	0.2893264451
357	0.2890744873
358	0.2886756134
359	0.2882126986
360	0.2878193917
361	0.2873105999
362	0.2870808898
363	0.2868603226
364	0.2866089134
365	0.2863044754
366	0.2858349371
367	0.2853561949
368	0.2850055548
369	0.2847799082
370	0.2844717115
371	0.284153803
372	0.2838460126
373	0.283582616
374	0.2833349858
375	0.2829617526
376	0.2825636508
377	0.2822792865
378	0.2820657085
379	0.2816760588
380	0.2813019723
381	0.2809458464
382	0.2806711736
383	0.2803085462
384	0.280077678
385	0.2797920744
386	0.2792877931
387	0.2790219177
388	0.2787666888
389	0.278425151
390	0.2782051324
391	0.2779226983
392	0.277670009
393	0.2774293681
394	0.277063368
395	0.276731867
396	0.2765093087
397	0.2761382901
398	0.2759757092
399	0.2756550781
400	0.2753779672
401	0.2749555452
402	0.2745763184
403	0.2741480856
404	0.2738287345
405	0.2735269988
406	0.2733383301
407	0.2730880383
408	0.272919931
409	0.2726514144
410	0.2723111566
411	0.2719259158
412	0.2716538842
413	0.2715161923
414	0.2712051104
415	0.2706442854
416	0.2702961647
417	0.2700238894
418	0.2697144329
419	0.2691983268
420	0.2690186994
421	0.2685809378
422	0.2682200373
423	0.2678314034
424	0.2674851723
425	0.2672867715
426	0.2668947243
427	0.2666273861
428	0.266400236
429	0.2661181473
430	0.2657950375
431	0.2655232904
432	0.2651517639
433	0.2648746936
434	0.2644692165
435	0.2642026504
436	0.2639176563
437	0.2636516997
438	0.2633320642
439	0.2630345341
440	0.2625933591
441	0.2622418454
442	0.2619252168
443	0.2615774618
444	0.2613396247
445	0.2611246245
446	0.2608183986
447	0.2605895825
448	0.2602471507
449	0.2600466369
450	0.2598179833
451	0.2594866246
452	0.2591129647
453	0.2587222788
454	0.2585148773
455	0.258321942
456	0.2579349335
457	0.2576425235
458	0.257294484
459	0.2570978306
460	0.2568729154
461	0.2566607597
462	0.2563174745
463	0.2559671392
464	0.2556974036
465	0.2554638738
466	0.2550740209
467	0.2548772049
468	0.2545378004
469	0.2543177208
470	0.2539018005
471	0.2536256242
472	0.2534154392
473	0.253085137
474	0.2528352516
475	0.2526591595
476	0.2523779038
477	0.2522469572
478	0.2520244396
479	0.2518162457
480	0.2514385427
481	0.2512382118
482	0.2508967349
483	0.2507471775
484	0.2505031435
485	0.2501154036
486	0.2498642992
487	0.2494261108
488	0.2492476415
489	0.2489017964
490	0.248591446
491	0.2482548047
492	0.2481325134
493	0.2477554199
494	0.2473790781
495	0.2470049916
496	0.2465652388
497	0.2463994071
498	0.2460548013
499	0.2458335026
500	0.2455052728
501	0.2453287947
502	0.2451515445
503	0.2448942635
504	0.2446919414
505	0.2444732028
506	0.2443385788
507	0.2440474488
508	0.2436806156
509	0.2434297753
510	0.2431474428
511	0.2429300857
512	0.2427113674
513	0.2424205219
514	0.2422287649
515	0.2419254647
516	0.2416684885
517	0.2412993797
518	0.2409332983
519	0.2405402962
520	0.2402569072
521	0.2400762842
522	0.2398950315
523	0.2395048331
524	0.2392504779
525	0.2389707663
526	0.2386020843
527	0.2382943751
528	0.2380399995
529	0.2377996227
530	0.2376641657
531	0.2374018663
532	0.2371524685
533	0.2368243606
534	0.2364824773
535	0.2363489911
536	0.2360739526
537	0.2358556406
538	0.2356160562
539	0.2353532285
540	0.2350513099
541	0.2346828107
542	0.2344855071
543	0.2343666698
544	0.2340626585
545	0.2337367042
546	0.2334432986
547	0.2332300457
548	0.2329041931
549	0.2326939878
550	0.232259741
551	0.2319071505
552	0.2317132196
553	0.2314529316
554	0.2312958973
555	0.2311808391
556	0.2309600484
557	0.2306842175
558	0.2304731792
559	0.2301974093
560	0.2298736493
561	0.2296371735
562	0.2293467139
563	0.2290920945
564	0.2287573428
565	0.2285991301
566	0.2283009499
567	0.2280890786
568	0.2278598764
569	0.2276102348
570	0.2274385923
571	0.2270923814
572	0.2267259343
573	0.226547465
574	0.2264387662
575	0.2261377822
576	0.2257871218
577	0.2255375614
578	0.2252927554
579	0.2251533568
580	0.2249291934
581	0.2246680927
582	0.2244249527
583	0.2241949785
584	0.2240289436
585	0.2237580498
586	0.2234978837
587	0.2233019211
588	0.2230670097
589	0.2227749857
590	0.2225130114
591	0.2223040658
592	0.221980956
593	0.2218136004
594	0.221541833
595	0.2213725269
596	0.2212185403
597	0.2210067706
598	0.2207746427
599	0.22046862
600	0.2202040043
601	0.2200426425
602	0.2197768687
603	0.2194716993
604	0.2191986722
605	0.2189704453
606	0.2184799799
607	0.2183010027
608	0.218067859
609	0.2177951773
610	0.2175379572
611	0.2173347615
612	0.2171175467
613	0.2169928986
614	0.2168587419
615	0.216770706
616	0.216469336
617	0.2162648196
618	0.216012171
619	0.2158496713
620	0.2156345899
621	0.2154948662
622	0.2152473579
623	0.2150384327
624	0.2148049232
